,Id,Age,Gender,Marital_status,Num_comp_worked,Work_Experience,Last_salary,Salary_hike,Work_hours,Traveling_required,NoticePeriod_buyout,Job_type,Whether_comp_Possess_vehicle,Work_location,Traveltowork_distance_._time,Work_area_living_cost,Public_transport_nearby,Current_employment,Offer_letter_Processtime.week.,Bonus,Allowance,Overtime_pay,Emp_shares_scheme,Performance_incentive,Annual_leave,Medical_Family,Child_day_care,Nursing_room,Parking,Comp_size,Comp_rating,Work_life,Stresslevel,Accept_offer
0,1,19-26,Male,Single,3 to 5,2,7-10 K,100% above,Mon-Fri,No,No,Permanent,Yes,Town,Near,High Cost,No,Working,4,No,No,Yes,Yes,No,More than 12 days,No,No,No,No,4,3,3,2,No
1,2,27-33,Female,Married,0 to 2,5,3.5-7 K,50-75%,Mon-Fri,No,Yes,Permanent,Yes,Town,Average,Average,Yes,Working,3,No,No,No,No,No,More than 12 days,No,No,Yes,No,4,3,4,2,Yes
2,3,27-33,Male,Married,0 to 2,8,3.5-7 K,25-50%,Mon-Fri,Yes,No,Contract,Yes,Town,Average,High Cost,Yes,Working,3,No,No,No,Yes,Yes,More than 12 days,No,No,No,Yes,4,2,1,4,No
3,4,19-26,Male,Single,0 to 2,8,3.5-7 K,25-50%,Mon-Fri,Yes,No,Permanent,Yes,Town,Near,High Cost,No,Unemployed/resigned,1,Yes,No,No,No,Yes,More than 12 days,No,No,No,Yes,3,2,3,3,Yes
4,5,34-40,Male,Single,6 to 8,8,3.5-7 K,75-100%,Mon-Fri,No,Yes,Contract,Yes,Town,Average,Average,Yes,Working,4,No,Yes,No,Yes,Yes,More than 12 days,No,No,No,Yes,4,4,3,1,Yes
5,6,27-33,Male,Married,3 to 5,5,7-10 K,25-50%,Mon-Fri,No,No,Contract,Yes,Town,Near,High Cost,No,Working,3,No,No,No,No,Yes,More than 12 days,No,No,No,Yes,4,4,3,1,Yes
6,7,27-33,Female,Married,0 to 2,8 above,15 K above,75-100%,Mon-Fri,Yes,Yes,Permanent,No,Outskirt  Town,Near,Average,No,Working,5,Yes,No,Yes,Yes,Yes,More than 12 days,Yes,No,Yes,No,4,2,3,3,No
7,8,27-33,Male,Single,9 above,5,3.5-7 K,25-50%,Mon-Fri,Yes,No,Contract,Yes,Town,Near,High Cost,No,Working,4,No,No,Yes,No,Yes,More than 12 days,No,No,No,No,4,2,3,4,No
8,9,19-26,Female,Single,0 to 2,5,3.5-7 K,25-50%,Mon-Fri,Yes,No,Contract,Yes,Town,Near,High Cost,Yes,Unemployed/resigned,3,Yes,No,No,No,No,More than 12 days,No,No,Yes,No,3,4,4,2,Yes
9,10,27-33,Male,Married,0 to 2,8,3.5-7 K,<25%,24/7 Operation,No,No,Contract,Yes,Outskirt  Town,Average,Average,No,Unemployed/resigned,3,No,No,Yes,No,No,More than 12 days,No,No,No,No,3,1,3,3,No
